=== small_1 ===
Algorithm,Time(ms),DFS,Edges,QueueOps,Relaxations
TarjanSCC,0,147,7,6,0,0
TarjanSCC,0,147,7,6,0,0
KahnTopo,0,116,0,3,8,0
DAGSP_Shortest,0,036,0,0,0,3
DAGSP_Longest,0,019,0,0,0,3

=== small_2 ===
Algorithm,Time(ms),DFS,Edges,QueueOps,Relaxations
TarjanSCC,0,057,6,6,0,0
TarjanSCC,0,057,6,6,0,0
KahnTopo,0,104,0,6,11,0
DAGSP_Shortest,0,014,0,0,0,6
DAGSP_Longest,0,017,0,0,0,6

=== small_3 ===
Algorithm,Time(ms),DFS,Edges,QueueOps,Relaxations
TarjanSCC,0,059,8,7,0,0
TarjanSCC,0,059,8,7,0,0
KahnTopo,0,027,0,1,5,0
DAGSP_Shortest,0,007,0,0,0,1
DAGSP_Longest,0,012,0,0,0,1

=== medium_1 ===
Algorithm,Time(ms),DFS,Edges,QueueOps,Relaxations
TarjanSCC,0,132,12,11,0,0
TarjanSCC,0,132,12,11,0,0
KahnTopo,0,038,0,5,13,0
DAGSP_Shortest,0,025,0,0,0,5
DAGSP_Longest,0,053,0,0,0,5

=== medium_2 ===
Algorithm,Time(ms),DFS,Edges,QueueOps,Relaxations
TarjanSCC,0,075,15,15,0,0
TarjanSCC,0,075,15,15,0,0
KahnTopo,0,054,0,15,29,0
DAGSP_Shortest,0,033,0,0,0,15
DAGSP_Longest,0,024,0,0,0,15

=== medium_3 ===
Algorithm,Time(ms),DFS,Edges,QueueOps,Relaxations
TarjanSCC,0,076,16,15,0,0
TarjanSCC,0,076,16,15,0,0
KahnTopo,0,042,0,8,19,0
DAGSP_Shortest,0,017,0,0,0,8
DAGSP_Longest,0,026,0,0,0,8

=== large_1 ===
Algorithm,Time(ms),DFS,Edges,QueueOps,Relaxations
TarjanSCC,0,156,25,24,0,0
TarjanSCC,0,156,25,24,0,0
KahnTopo,0,094,0,24,49,0
DAGSP_Shortest,0,028,0,0,0,24
DAGSP_Longest,0,051,0,0,0,24

=== large_2 ===
Algorithm,Time(ms),DFS,Edges,QueueOps,Relaxations
TarjanSCC,0,099,30,10,0,0
TarjanSCC,0,099,30,10,0,0
KahnTopo,2,226,0,10,40,0
DAGSP_Shortest,0,024,0,0,0,10
DAGSP_Longest,0,037,0,0,0,10

=== large_3 ===
Algorithm,Time(ms),DFS,Edges,QueueOps,Relaxations
TarjanSCC,0,133,35,10,0,0
TarjanSCC,0,133,35,10,0,0
KahnTopo,0,098,0,10,45,0
DAGSP_Shortest,0,439,0,0,0,10
DAGSP_Longest,0,033,0,0,0,10

